experiment,label,target_model,split_mode,tensor_split,spec_family,spec_n_max,spec_p_min,top_k,min_p,temp,ctx_total,batch_b,ubatch_ub,n_predict,prompt_tokens,prefill_tok_s,prefill_ms,gen_tokens,gen_tok_s,gen_ms,acceptance_length_metrics_cumulative,proposed_per_round_metrics_cumulative,token_accept_rate_metrics_cumulative,output_sha256_16hex,vram_after_load_mib,peak_vram_mib,repeat,backend_sampling_on_gpu,wall_s,error
"3-card matrix (layer/tensor, -ts balances)",g3-layer-ts111-dflash8,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,8,0.0,,,0.5,131072,2048,256,256,99589,598.12,166504,256,19.47,13095,3.405,6.848,0.3512,eef34352220c1d02,"[6153, 6961, 7449]","[6355, 6985, 7491]",,True,182.7,
"3-card matrix (layer/tensor, -ts balances)",g2-layer-ts11-dflash4,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1",dflash,4,0.0,,,0.5,131072,2048,256,256,99589,494.55,201373,256,23.56,10825,3.14,3.953,0.5412,d5809f6a1e3336e6,"[8695, 10179, 4]","[8903, 10231, 4]",,True,215.0,
"3-card matrix (layer/tensor, -ts balances)",g3-tensor-ts111-dflash4,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,tensor,"1,1,1",dflash,4,0.0,,,0.5,131072,2048,256,256,,,,,,,,,,,,,,True,,server never became healthy | a.cpp/build/bin/libllama-server-impl.so(_Z12llama_serverR13common_paramsiPPc+0x3777)[0x73e35a2c74a7] /home/eamon/llama.cpp/build/bin/libllama-server-impl.so(_Z12llama_serveriPPc+0xd6)[0x73e35a2c8916] /lib/x86_64-linux-gnu/libc.so.6(+0x2a1ca)[0x73e359a2a1ca] /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x8b)[0x73e359a2a28b] /home/eamon/llama.cpp/build/bin/llama-server(+0x12a5)[0x5bb6e2e7d2a5] 
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax1,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,1,0.0,,,0.5,131072,2048,256,256,99589,624.06,159583,256,16.1,15839,1.868,1.0,0.8681,6dceb90f8411111d,"[5781, 6611, 7121]","[5981, 6631, 7151]",,True,178.0,
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax2,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,2,0.0,,,0.5,131072,2048,256,256,99589,618.39,161045,256,18.45,13819,2.269,1.983,0.6398,c807bf4dc86c9dcd,"[5835, 6661, 7169]","[6035, 6681, 7211]",,True,177.5,
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax3,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,3,0.0,,,0.5,131072,2048,256,256,99589,614.58,162044,256,19.4,13143,2.547,2.962,0.5223,25ad9447c30a2682,"[5887, 6711, 7215]","[6087, 6731, 7257]",,True,178.0,
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax4,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,4,0.0,,,0.5,131072,2048,256,256,99589,606.19,164288,256,23.05,11063,3.14,3.953,0.5412,d5809f6a1e3336e6,"[5941, 6761, 7261]","[6143, 6783, 7303]",,True,178.2,
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax5,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,5,0.0,,,0.5,131072,2048,256,256,99589,603.32,165068,256,22.11,11533,3.253,4.88,0.4617,a279a1ffaab2a784,"[5993, 6811, 7309]","[6195, 6833, 7351]",,True,179.6,
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax6,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,6,0.0,,,0.5,131072,2048,256,256,99589,602.74,165228,256,22.97,11102,3.6,5.827,0.4462,cf9621d475aea06e,"[6047, 6861, 7355]","[6249, 6883, 7397]",,True,179.3,
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax7,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,7,0.0,,,0.5,131072,2048,256,256,99589,600.29,165901,256,23.27,10959,3.971,6.794,0.4372,0194852ba7ad2825,"[6099, 6911, 7403]","[6301, 6933, 7445]",,True,180.0,
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax8,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,8,0.0,,,0.5,131072,2048,256,256,99589,597.76,166605,256,19.48,13090,3.405,6.848,0.3512,eef34352220c1d02,"[6153, 6961, 7449]","[6355, 6985, 7491]",,True,182.9,
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax7-pin0-samets,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,1,1",dflash,7,0.0,,,0.5,131072,2048,256,256,,,,,,,,,,,,,,True,,server never became healthy | a.cpp/build/bin/libllama-server-impl.so(_Z12llama_serverR13common_paramsiPPc+0x3777)[0x7ac1a3cc74a7] /home/eamon/llama.cpp/build/bin/libllama-server-impl.so(_Z12llama_serveriPPc+0xd6)[0x7ac1a3cc8916] /lib/x86_64-linux-gnu/libc.so.6(+0x2a1ca)[0x7ac1a342a1ca] /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x8b)[0x7ac1a342a28b] /home/eamon/llama.cpp/build/bin/llama-server(+0x12a5)[0x59ada41232a5] 
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax7-pin0-bias-0.8x1x1,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"0.8,1,1",dflash,7,0.0,,,0.5,131072,2048,256,256,,,,,,,,,,,,,,True,,server never became healthy | a.cpp/build/bin/libllama-server-impl.so(_Z12llama_serverR13common_paramsiPPc+0x3777)[0x748ab2ec74a7] /home/eamon/llama.cpp/build/bin/libllama-server-impl.so(_Z12llama_serveriPPc+0xd6)[0x748ab2ec8916] /lib/x86_64-linux-gnu/libc.so.6(+0x2a1ca)[0x748ab262a1ca] /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x8b)[0x748ab262a28b] /home/eamon/llama.cpp/build/bin/llama-server(+0x12a5)[0x56b1f20562a5] 
3-card DFlash2 n-max sweep + drafter pinning,dflash3-nmax7-pin1-bias-1x0.8x1,Qwen3.8-27B-GSQ-RCO-IQ3_S-mtp.gguf,layer,"1,0.8,1",dflash,7,0.0,,,0.5,131072,2048,256,256,,,,,,,,,,,,,,True,,server never became healthy | a.cpp/build/bin/libllama-server-impl.so(_Z12llama_serverR13common_paramsiPPc+0x3777)[0x72c66aac74a7] /home/eamon/llama.cpp/build/bin/libllama-server-impl.so(_Z12llama_serveriPPc+0xd6)[0x72c66aac8916] /lib/x86_64-linux-gnu/libc.so.6(+0x2a1ca)[0x72c66a22a1ca] /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x8b)[0x72c66a22a28b] /home/eamon/llama.cpp/build/bin/llama-server(+0x12a5)[0x5fe00b36e2a5] 
